absorb_side,center_ratio,it_left,it_right,max_actual_bond,max_bond,max_entropy,max_links,max_required_bond,mean_entropy,mean_required_bond,num_tensors,stage,step,time,total_elems,total_links,total_shapes,u_consumed,u_consumed_total
,0.4,,,1,1,-0.0,4,1,0.0,1.0,24,start,0,0.0,96,94,142,,
left,0.4,1,0,1,1,-0.0,4,1,0.0,1.0,24,absorbing,1,0.511510584037751,96,94,142,0,0
right,0.4,1,1,4,4,2.0,4,4,0.17391304347826086,1.2608695652173914,24,absorbing,2,0.5480895000509918,144,94,154,0,0
left,0.4,2,1,4,4,2.0,4,4,0.17391304347826086,1.2608695652173914,24,absorbing,3,0.584238292183727,144,94,154,0,0
left,0.4,3,1,4,4,2.0,4,4,0.2608695652173913,1.391304347826087,24,absorbing,4,0.6201638751663268,168,94,160,0,0
left,0.4,4,1,4,4,2.0,4,4,0.43478260869565216,1.6521739130434783,24,absorbing,5,0.6559886671602726,252,94,172,0,0
left,0.4,5,1,4,4,2.0,4,4,0.6521739130434783,1.9565217391304348,24,absorbing,6,0.6927275420166552,356,94,186,0,0
left,0.4,6,1,4,4,2.0000000000000004,4,4,0.7391304347826086,2.0869565217391304,24,absorbing,7,0.7290940419770777,452,94,192,0,0
right,0.4,6,2,4,4,2.0,4,4,1.0,2.4782608695652173,24,absorbing,8,0.7663761670701206,596,94,210,0,0
right,0.4,6,3,4,4,2.0,4,4,1.173913043478261,2.739130434782609,24,absorbing,9,0.8147623343393207,716,94,222,0,0
right,0.4,6,4,4,4,2.0,4,4,1.434782608695652,3.130434782608696,24,absorbing,10,0.8534542093984783,932,94,240,0,0
right,0.4,6,5,16,16,3.9999999999999996,4,16,1.608695652173913,3.782608695652174,24,absorbing,11,0.8902806253172457,1376,94,270,0,0
right,0.4,6,6,16,16,3.9999999999999996,4,16,1.6956521739130435,3.9130434782608696,24,absorbing,12,0.9282937091775239,1472,94,276,0,0
right,0.4,6,7,16,16,4.0,4,16,1.8695652173913044,4.956521739130435,24,absorbing,13,0.9672826253809035,2240,94,324,0,0
right,0.4,6,8,16,16,3.9999999999999996,4,16,2.0,5.565217391304348,24,absorbing,14,1.0057394593022764,3240,94,352,0,0
right,0.4,6,9,16,16,4.0,4,16,2.347826086956522,6.869565217391305,24,absorbing,15,1.0440515424124897,4740,94,412,0,0
right,0.4,6,10,16,16,4.0,4,16,2.652173913043478,8.478260869565217,24,absorbing,16,1.0869350000284612,7640,94,486,0,0
right,0.4,6,11,16,16,4.0,4,16,2.6956521739130435,8.652173913043478,24,absorbing,17,1.1308869593776762,7960,94,494,0,0
right,0.4,6,12,16,16,4.0,4,16,2.6956521739130435,8.652173913043478,24,absorbing,18,1.175337000284344,8536,94,494,0,0
right,0.4,6,13,16,16,4.0,4,16,2.8260869565217392,9.347826086956522,24,absorbing,19,1.2221953342668712,9016,94,526,0,0
right,0.4,6,14,16,16,4.0,4,16,2.9565217391304346,9.782608695652174,24,absorbing,20,1.2688841670751572,10368,94,546,0,0
right,0.4,6,15,64,64,6.0,4,64,3.0434782608695654,11.869565217391305,24,absorbing,21,1.3181642503477633,16320,94,642,0,0
right,0.4,6,16,64,64,6.0,4,64,3.3043478260869565,15.347826086956522,24,absorbing,22,1.385743834078312,35584,94,802,0,0
right,0.4,6,17,64,64,6.000000000000001,4,64,3.4347826086956523,17.47826086956522,24,absorbing,23,1.4681253749877214,44832,94,900,0,0
left,0.4,7,17,64,64,6.000000000000001,4,64,3.5217391304347827,19.217391304347824,24,absorbing,24,1.5617872923612595,64544,94,980,0,0
right,0.4,7,18,64,64,5.999999999999999,4,64,3.4902128816360354,19.217391304347824,24,absorbing,25,1.7214711252599955,64544,94,980,0,0
left,0.4,8,18,64,64,5.979168710381957,4,64,3.4509553394685186,19.043478260869566,24,absorbing,26,1.854793042410165,63584,94,974,0,0
left,0.4,9,18,64,64,5.958481022944908,4,64,3.440825464055646,18.956521739130434,24,absorbing,27,1.974079709034413,63584,94,974,0,0
left,0.4,10,18,64,64,5.958459285080281,4,64,3.440759022007774,18.91304347826087,24,absorbing,28,2.0596063751727343,62624,94,968,0,0
left,0.4,11,18,64,64,5.958459285080281,4,64,3.41974803018765,18.695652173913043,24,absorbing,29,2.153432209044695,63008,94,956,0,0
left,0.4,12,18,64,64,5.9584592850802816,4,64,3.5946930907494683,19.73913043478261,24,absorbing,30,2.243997209239751,64544,94,1004,0,0
right,0.4,12,19,64,64,5.95845881919406,4,64,3.6597880041568693,20.47826086956522,24,absorbing,31,2.332819292321801,66272,94,1042,0,0
right,0.4,12,20,64,64,5.971047181905142,4,64,3.8336483819257587,23.043478260869566,24,absorbing,32,2.426059167366475,76192,94,1158,0,0
left,0.4,13,20,64,64,5.971063679826813,4,64,4.050318246927013,25.82608695652174,24,absorbing,33,2.5267849173396826,86816,94,1284,0,0
left,0.4,14,20,64,64,5.971063679826813,4,64,4.093796507796577,27.217391304347824,24,absorbing,34,2.645390917081386,99104,94,1348,0,0
left,0.4,15,20,64,64,5.971049256274227,4,64,4.181839706618576,28.608695652173914,24,absorbing,35,2.7644835421815515,106928,94,1414,0,0
left,0.4,16,20,64,64,5.999999999999995,4,64,3.679631947700405,21.304347826086957,24,absorbing,36,2.9061480001546443,94304,94,1312,0,0
left,0.4,17,20,64,64,5.999999999999995,4,64,3.678890371756353,21.217391304347824,24,absorbing,37,3.0197765841148794,66432,94,1074,0,0
left,0.4,18,20,64,64,5.8593860891091225,4,64,3.6362497846852504,19.869565217391305,24,absorbing,38,3.108952209353447,60192,94,1012,0,0
right,0.4,18,21,64,64,5.859385137699505,4,64,3.766604079502954,21.043478260869566,24,absorbing,39,3.2056677090004086,62496,94,1066,0,0
right,0.4,18,22,64,64,5.859373262504804,4,64,3.8534109347941325,21.434782608695652,24,absorbing,40,3.3031760002486408,62768,94,1086,0,0
left,0.4,19,22,64,64,5.859333726099146,4,64,3.808563553018902,20.782608695652176,24,absorbing,41,3.398322584107518,62736,94,1062,0,0
left,0.4,20,22,64,64,5.859317570550553,4,64,3.8084094200808334,20.652173913043477,24,absorbing,42,3.4810215001925826,61344,94,1052,0,0
right,0.4,20,23,64,64,5.859308313676317,4,64,3.8300658828091336,20.869565217391305,24,absorbing,43,3.570937250275165,60928,94,1062,0,0
right,0.4,20,24,64,64,5.859307703473306,4,64,3.829965017338607,20.782608695652176,24,absorbing,44,3.659762084018439,60704,94,1056,0,0
right,0.4,20,25,64,64,5.8593077012061805,4,64,3.8299157755669073,20.695652173913043,24,absorbing,45,3.748001292347908,60576,94,1052,0,0
right,0.4,20,26,64,64,5.859307699187537,4,64,3.829866524351089,20.695652173913043,24,absorbing,46,3.8372265421785414,60448,94,1048,0,0
right,0.4,20,27,64,64,5.8593076991875375,4,64,3.829866524351089,20.695652173913043,24,absorbing,47,3.9249039590358734,60448,94,1048,0,0
left,0.4,21,27,64,64,5.859273436126299,4,64,3.7445958021275567,20.130434782608695,24,absorbing,48,4.013828209135681,60940,94,1042,0,0
left,0.4,22,27,64,64,5.859258823811558,4,64,3.7008032476511574,19.652173913043477,24,absorbing,49,4.098111042287201,58404,94,1008,0,0
left,0.4,23,27,64,64,5.859258824349759,4,64,3.7010713919810803,19.652173913043477,24,absorbing,50,4.178541874978691,57760,94,1000,0,0
right,0.4,23,28,64,64,5.859258824349759,4,64,3.744534884176243,20.347826086956523,24,absorbing,51,4.258782250341028,58784,94,1032,0,0
right,0.4,23,29,64,64,5.859258824349759,4,64,3.744534884176243,20.347826086956523,24,absorbing,52,4.342712000012398,58784,94,1032,0,0
right,0.4,23,30,64,64,5.859258824349759,4,64,3.7879538377297313,20.52173913043478,24,absorbing,53,4.423523667268455,59040,94,1040,0,0
right,0.4,23,31,64,64,5.859258824349759,4,64,3.7879538377297313,20.52173913043478,24,absorbing,54,4.5091503341682255,59040,94,1040,0,0
right,0.4,23,32,64,64,5.859258824349757,4,64,3.787953837729731,20.52173913043478,24,absorbing,55,4.607361250091344,59040,94,1040,0,0
right,0.4,23,33,64,64,5.859258824349757,4,64,3.7444977378859807,19.82608695652174,24,absorbing,56,4.708349417429417,58016,94,1008,0,0
right,0.4,23,34,64,64,5.859258824349759,4,64,3.7444977378859807,19.82608695652174,24,absorbing,57,4.790139750111848,58016,94,1008,0,0
right,0.4,23,35,64,64,5.85925882434976,4,64,3.8313963204326975,20.869565217391305,24,absorbing,58,4.870169792324305,60320,94,1056,0,0
right,0.4,23,36,64,64,5.859258824349759,4,64,3.874824022457426,21.565217391304348,24,absorbing,59,4.952460375148803,62880,94,1088,0,0
right,0.4,23,37,64,64,5.859258824349758,4,64,3.961722605004149,22.608695652173914,24,absorbing,60,5.03684312524274,69024,94,1136,0,0
left,0.4,24,37,64,64,5.859258824349757,4,64,4.1359157603244965,24.695652173913043,24,absorbing,61,5.13739600032568,75424,94,1232,0,0
right,0.4,24,38,64,64,5.999999923616868,4,64,3.849075937525951,22.17391304347826,24,absorbing,62,5.244199250359088,83616,94,1296,0,0
right,0.4,24,39,64,64,5.999999923616868,4,64,3.805592426693154,21.47826086956522,24,absorbing,63,5.359770500101149,59232,94,1084,0,0
right,0.4,24,40,64,64,5.716069731426935,4,64,3.7621141632720607,19.73913043478261,24,absorbing,64,5.44910554215312,53856,94,1004,0,0
right,0.4,24,41,64,64,5.716069731426935,4,64,3.805585043794061,20.434782608695652,24,absorbing,65,5.529536459129304,55904,94,1036,0,0
left,0.4,25,41,64,64,5.716069731426934,4,64,3.8055588771321074,19.91304347826087,24,absorbing,66,5.610783667303622,54176,94,1012,0,0
right,0.4,25,42,64,64,5.716069731426935,4,64,3.8055588804531193,19.91304347826087,24,absorbing,67,5.767755834385753,54176,94,1012,0,0
right,0.4,25,43,64,64,5.716069731426934,4,64,3.797987914625809,19.91304347826087,24,absorbing,68,5.848216500133276,54176,94,1012,0,0
left,0.4,26,43,64,64,5.716069731426934,4,64,3.7979879146258035,19.91304347826087,24,absorbing,69,5.926517541985959,54176,94,1012,0,0
right,0.4,26,44,64,64,5.716069731426933,4,64,3.841225654707999,20.08695652173913,24,absorbing,70,6.008562959264964,54560,94,1020,0,0
right,0.4,26,45,64,64,5.716069731426934,4,64,3.844416827221587,20.08695652173913,24,absorbing,71,6.090478125028312,54560,94,1020,0,0
right,0.4,26,46,64,64,5.716069731426933,4,64,3.844416728644346,20.08695652173913,24,absorbing,72,6.17040150007233,54560,94,1020,0,0
right,0.4,26,47,64,64,5.716069731426934,4,64,3.844416728644347,20.08695652173913,24,absorbing,73,6.252636500168592,54560,94,1020,0,0
left,0.4,27,47,64,64,5.716069731426934,4,64,3.836854058893681,20.08695652173913,24,absorbing,74,6.334929209202528,55072,94,1020,0,0
right,0.4,27,48,64,64,5.716069731426933,4,64,3.843610183303775,20.17391304347826,24,absorbing,75,6.413482417352498,55712,94,1024,0,0
left,0.4,28,48,64,64,5.7160697314269315,4,64,3.88708844417334,20.52173913043478,24,absorbing,76,6.494711459148675,56736,94,1040,0,0
left,0.4,29,48,64,64,5.716069731426932,4,64,3.88708844417334,20.52173913043478,24,absorbing,77,6.575062584131956,56736,94,1040,0,0
left,0.4,30,48,64,64,5.7160697314269315,4,64,3.886711044023877,20.52173913043478,24,absorbing,78,6.657575667370111,56480,94,1040,0,0
left,0.4,31,48,64,64,5.716069731426931,4,64,3.8977334878225913,21.217391304347824,24,absorbing,79,6.737768292427063,58016,94,1072,0,0
