absorb_side,it_left,it_right,iteration,layers_left,layers_right,max_bond,max_links,new_swaps,num_tensors,parity,side,stage,swap_consumed,time,total_elems,total_links,total_shapes,total_swaps,u_consumed,u_consumed_after_unswap,u_consumed_total,u_consumed_total_left,u_consumed_total_right
left,1,0,,283,264,1,4,,32,,,absorbing,1,3.9653733340092003,128,126,190,,0,0,0,0,0
left,2,0,,283,264,4,4,,32,,,absorbing,3,4.084835916757584,152,126,196,,0,0,0,0,0
left,3,0,,283,264,4,4,,32,,,absorbing,8,4.108010625001043,296,126,214,,0,0,0,0,0
left,3,1,,283,264,4,4,,32,,,absorbing,7,4.1338257091119885,416,126,244,,0,0,0,0,0
left,4,1,,283,264,16,4,,32,,,absorbing,9,4.158253249712288,964,126,288,,0,0,0,0,0
left,4,2,,283,264,16,4,,32,,,absorbing,8,4.1842243750579655,1400,126,328,,0,0,0,0,0
left,5,2,,283,264,16,4,,32,,,absorbing,10,4.2103304588235915,3596,126,400,,0,0,0,0,0
left,5,3,,283,264,16,4,,32,,,absorbing,10,4.243504249956459,5516,126,520,,0,0,0,0,0
left,5,4,,283,264,16,4,,32,,,absorbing,7,4.271880083717406,10184,126,670,,0,0,0,0,0
left,5,5,,283,264,64,4,,32,,,absorbing,5,4.303785708732903,18824,126,814,,0,0,0,0,0
left,5,6,,283,264,64,4,,32,,,absorbing,5,4.3471171669662,36740,126,964,,0,0,0,0,0
left,5,7,,283,264,64,4,,32,,,absorbing,7,4.404177541844547,39332,126,1018,,0,0,0,0,0
left,5,8,,283,264,64,4,,32,,,absorbing,6,4.466044833883643,43172,126,1114,,0,0,0,0,0
left,5,9,,283,264,64,4,,32,,,absorbing,5,4.530125292018056,60004,126,1242,,0,0,0,0,0
left,5,10,,283,264,64,4,,32,,,absorbing,3,4.634225208777934,62052,126,1274,,0,0,0,0,0
left,5,11,,283,264,64,4,,32,,,absorbing,3,4.718990916851908,68196,126,1370,,0,0,0,0,0
left,5,12,,283,264,64,4,,32,,,absorbing,3,4.813330417033285,86648,126,1532,,0,0,0,0,0
left,5,13,,283,264,64,4,,32,,,absorbing,5,4.927444624714553,119000,126,1844,,0,0,0,0,0
left,6,13,,283,264,64,4,,32,,,absorbing,7,5.062081499956548,175904,126,2048,,0,0,0,0,0
left,6,14,,283,264,256,4,,32,,,absorbing,5,5.2703067497350276,305312,126,2728,,0,0,0,0,0
left,6,15,,283,264,256,4,,32,,,absorbing,3,5.653439667075872,557216,126,3144,,0,0,0,0,0
left,6,16,,283,264,256,4,,32,,,absorbing,5,6.382589916698635,820256,126,3736,,0,0,0,0,0
left,6,17,,283,264,256,4,,32,,,absorbing,3,7.128673166967928,925728,126,3992,,0,0,0,0,0
,,,0,,,256,4,5,32,0,both,unswapping,,12.797308541834354,1039008,126,4240,5,,,,,
,,,0,,,256,4,8,32,1,both,unswapping,,15.77412962494418,402720,126,2712,13,,,,,
,,,0,,,128,4,7,32,0,left,unswapping,,16.2783142500557,218532,126,2042,20,,,,,
,,,0,,,128,4,7,32,1,left,unswapping,,16.649542083963752,119844,126,1586,27,,,,,
,,,0,,,64,4,5,32,0,right,unswapping,,16.843648499809206,75108,126,1242,32,,,,,
,,,0,,,64,4,4,32,1,right,unswapping,,16.967562541831285,70248,126,1172,36,,,,,
,,,1,,,64,4,8,32,0,both,unswapping,,17.24305387493223,43236,126,970,8,,,,,
,,,1,,,32,4,4,32,1,both,unswapping,,17.40534587483853,19896,126,744,12,,,,,
,,,1,,,32,4,5,32,0,left,unswapping,,17.460030084010214,14856,126,624,17,,,,,
,,,1,,,32,4,3,32,1,left,unswapping,,17.51154433377087,13816,126,572,20,,,,,
,,,1,,,32,4,1,32,0,right,unswapping,,17.55761191667989,13756,126,566,21,,,,,
,,,1,,,32,4,2,32,1,right,unswapping,,17.60636799968779,13440,126,552,23,,,,,
,,,2,,,32,4,5,32,0,both,unswapping,,17.71322354208678,6228,126,454,5,,,,,
,,,2,,,16,4,5,32,1,both,unswapping,,17.795859208796173,2340,126,362,10,,,,,
,,,2,,,8,4,2,32,0,left,unswapping,,17.836191333830357,1572,126,326,12,,,,,
,,,2,,,8,4,1,32,1,left,unswapping,,17.877937084063888,1536,126,320,13,,,,,
